bill_num,title,bill_summary,index_headings,veto,session,last_action,passed_house,passed_senate,passed
hb1,AN ACT relating to school safety.,"Amend KRS 158.441 to include definitions of school safety and school security; amend KRS 158.442 to include development and implementation of a school safety coordinator training program; specify membership on the Center for School Safety board of directors; amend KRS 158.443 to specify the board of directors is to appoint an executive director, establish all positions of the center, approve a school security risk assessment tool, review the organizational structure of the center and make recommendations; create a new section of KRS Chapter 158 to establish the state school security marshal to be appointed by and report to the Department of Criminal Justice Training; require the marshal to report annually to the Center for School Safety; require development of a school security risk assessment tool; require reporting by school superintendents on completion of the risk assessment annually; require mandatory additional staff training if the risk assessment is not completed; create a new section of KRS Chapter 158 to require school district superintendents to appoint a school safety coordinator; require the school safety coordinator to complete training within six months of appointment; require the coordinator to designate threat assessment teams at each school in the district; require the coordinator to prescribe policies and procedures for an all-hazards approach to school safety; require the coordinator to ensure that all school campuses in their district are toured at least once per school year; create a new section of KRS Chapter 158 to promote the assignment of a school resource officer to each school; require the Kentucky Law Enforcement Council to promulgate administrative regulations to establish school resource officer training and course curriculum; require superintendents to report annually to the Center for School Safety the number and placement of school resource officers in the district; amend KRS 15.330 to conform; amend KRS 158.162 to require all districts to restrict the access to each school building by July 1, 2022; withhold approval of new building construction or expansion approval without compliance; amend KRS 156.095 to require suicide prevention awareness information be provided to students in person, by live streaming, or via video recording; require suicide training provided to staff to include the recognition of signs and symptoms of mental illness; require staff with job duties requiring direct contact with students to receive a minimum of one hour of training annually on responding to an active shooter; create a new section of KRS Chapter 158 to define mental health professional and trauma-informed approach; direct all schools to adopt a trauma-informed approach to education; require by July 1, 2021, as funds become available, each school district to provide a mental health professional for each one thousand five hundred students; require by January 1, 2020, the Department of Education make available a tool kit to assist school districts in developing a trauma-informed approach; require by July 1, 2020, each local board of education to develop a plan for implementing a trauma-informed approach; amend KRS 70.062 to encourage sheriffs to collaborate with local school districts on policies and procedures for communicating instances of student-involved trauma; amend KRS 95.970 to encourage chiefs of police to collaborate with local school districts on policies and procedures for communicating instances of student-involved trauma; create a new section of KRS Chapter 16 to encourage the Department of Kentucky State Police to work with school districts pertaining to school and student safety and emergency response plans and concerns and policies and procedures for communicating instances of student involved trauma; amend KRS 508.078 to include in terroristic threatening in the second degree making false statements by any means for the purpose of causing evacuation, cancellation, or creating fear of bodily harm in schools or among students, parents, or school personnel; create a new section of KRS Chapter 158 to require the Department of Education make available to each school district an anonymous reporting tool; allow the reporting individual to stay anonymous; require information reported be immediately sent to administration of each school district and law enforcement agencies affected; require the Department of Education develop and provide a comprehensive training and awareness program on the anonymous reporting tool; create a new section of KRS Chapter 158 to require principals to provide each school year written notice to all students, parents, and guardians of the provisions of KRS 508.078 and potential penalties under KRS 532.060 and 534.030; create a new section of Chapter 158 to allow the board of directors of any public school district foundation to accept gifts or donations restricted for school security purposes and use them exclusively for the purpose granted; encourage the organization of foundations to support public school districts for which no foundation exists; Act shall be known as the School Safety and Resiliency Act; direct the Office of Education Accountability to conduct a study on the use of guidance counselors' time in schools.","Crimes and Punishments - Contain false statements, terroristic threatening to include Education, Elementary and Secondary - Students and teachers, school safety for, improving Mental Health - Services to students, provided by school districts Peace Officers and Law Enforcement - Communicating with school districts, student involved trauma, instances of Peace Officers and Law Enforcement - State school security marshal position, creation of Police, City and County - Communicating with school districts, student involved trauma, instances of Police, State - Communicating with school districts, student involved trauma, instances of Sheriffs - Communicating with school districts, student involved trauma, instances of Studies Directed - Office of Education Accountability, guidance counselors, study of Teachers - School safety for, improving Charitable Organizations and Institutions - Foundations to support school district security, restricted donations for Children and Minors - School safety for, improving Boards and Commissions - Center for School Safety, membership of Short Titles and Popular Names - School Safety and Resiliency Act",0,2019 General Assembly,to Education (H),0,0,0
hb2,AN ACT relating to relative and fictive kin caregivers.,"Create a new section of KRS Chapter 620  to establish a custodial, permanancy, and service option assistance program for relative and fictive kin caegivers; amend KRS 405.023 to establish that the KinCare Support Program shall include respite care for low-income fictive kin caregivers; amend KRS 605.120 to delete requirement related to theKinship Care Program; amend KRS 610.010 to conform.","Fiscal Note - Kinship and fictive kin care program, establishment and requirements of Courts - Kinship and fictive kin care program, establishment and requirements of Guardians - Kinship and fictive kin care program, establishment and requirements of Parental Rights - Kinship and fictive kin care program, establishment and requirements of Children and Minors - Kinship and fictive kin care program, establishment and requirements of",0,2019 General Assembly,signed by Governor,1,1,1
hb3,AN ACT relating to public assistance recipients.,"Create a new section of KRS 205.010  to 205.310 to require the Kentucky Transitional Assistance Program to allocate federal funds in a specified manner based on a percentage formula; create a new section of KRS 205.010 to 205.310 to establish definitions for ""able-bodied working-age adult"" and ""community engagement"" and establish work and community engagement requirements for food stamps beneficiaries; create a new section of KRS 205.510 to 205.560 to establish definitions for ""able-bodied working-age adult"" and ""community engagement"" and establish work and community engagement requirements for Medicaid beneficiaries; create a new section of KRS Chapter 205 to require photo IDs on all welfare benefit cards; require that an existing recipient be issued a new card at renewal; establish a procedure by which an individual may be designated to purchase qualifying items temporarily; amend KRS 205.200 to require the Cabinet for Health and Family Services to implement a substance abuse screening program for applicants and recipients of public assistance who have a felony or misdemeanor history of substance abuse; permit the cabinet to design the program and utilize testing of blood or urine or other reliable methods of substance abuse detection; state conditions under which an adult person is ineligible for public assistance; require testing as a requirement before the receipt of public assistance and once each subsequent year; require the cabinet to promulgate administrative regulations governing the program and testing, including requirements that applicants pay for all substance abuse screening costs and receive a reimbursement if the test is passed; grant the right to additional screenings for applicants who fail a test; require both parents in two-parent families to comply with screening requirements if both parents have a felony or misdemeanor history of substance abuse; require that an individual who fails a test receive a list of licensed substance abuse treatment providers in his or her area; require passage of a drug test before receiving benefits; permit parents or guardians who fail a test to designate another individual to receive benefits for the parent's minor children; require designated individuals to pass substance abuse screenings; create a 60-day grace period to enter a treatment program after the initial positive test; require individuals to pay for a test at the end of the 60-day grace period; provide that if they pass that test, they must pass two additional randomized testings during the next 24 months, or if an individual tests positive after the 60-day grace period, he or she must show evidence of having entered a substance abuse treatment program within 14 days, during which time, benefits may be suspended and only be payable for the benefit of any children in that recipient's home; amend KRS 205.520, to establish new duties for the secretary of the Cabinet for Health and Family Services related to the Medical Assistance Act; amend KRS 13B.020 to exempt the food stamps program from certain administrative hearings.","Disabilities and the Disabled - Benefit cards, photo ID required Drugs and Medicines - Substance abuse screening, public assistance Health and Medical Services - Benefit cards, photo ID required Poverty - Public assistance, substance abuse screening Public Assistance - Benefit cards, photo ID required Public Assistance - Eligibility for benefits, substance abuse screening Public Assistance - Food stamps program, establishing new requirements Public Medical Assistance - Benefit cards, photo ID required Public Medical Assistance - Eligibility for benefits, substance abuse screening Public Medical Assistance - Public assistance, percentage allocation of funds Medicaid - Benefit cards, photo ID required Medicaid - Eligibility for benefits, establishing new requirements Medicaid - Eligibility for benefits, substance abuse screening Civil Rights - Public assistance, substance abuse screening",0,2019 General Assembly,posted in committee,0,0,0
hb4,AN ACT relating to administrative regulations.,"Create a new section of KRS Chapter 13A to be numbered as KRS 13A.336  to require the staff of the Administrative Regulation Review Subcommittee to submit to that committee's co-chairs an annual report on administrative regulations found deficient by a legislative committee; list the information that is necessary to complete the report; include prominent text on the first page of the report outlining potential legislative options; amend KRS 13A.190 to make an emergency administrative regulation expire after 240 days; allow an administrative body that extends the time for filing a statement of consideration to postpone the expiration beyond 240 days for a number of days equal to the extension; amend KRS 13A.290 to allow a committee to take action on an administrative regulation within 90 days of LRC referral; permit an administrative regulation to transfer between standing committees and an interim joint committee or vice versa if a session of the General Assembly occurs during part of the 90-day review period; amend KRS 13A.330 to merge administrative regulation deficiency processes and to conform; amend KRS 13A.331 to combine administrative regulation adoption processes and to conform; amend KRS 13A.300, 13A.310, 13A.315, and 13A.335 to conform.","General Assembly - Administrative regulations, legislative committee procedures for Legislative Research Commission - Administrative regulations, legislative committee procedures for State Agencies - Administrative regulations promulgated by state agencies, legislative committee procedures for Administrative Regulations and Proceedings - Reports and procedures concerning administrative regulations, requirements for Committees - Administrative regulations, legislative committee procedures for",1,2019 General Assembly,delivered to Secretary of State,1,1,1
hb5,AN ACT relating to the human rights of unborn children to not be discriminated against and declaring an emergency.,"Create new section of KRS Chapter 311 to prohibit an abortion if the pregnant woman is seeking the abortion, in whole or in part, because of an unborn child's sex, race, color, national origin, or disability, except in the case of a medical emergency; require physicians to certify a lack of knowledge that the pregnant woman's intent to seek an abortion was, in whole or in part, because of an unborn child's sex, race, color, national origin, or disability; require the State Board of Medical Licensure to revoke a physician's license to practice medicine if the physician violates the prohibition; provide that the Cabinet for Health and Family Services shall revoke the license of any person, including a licensed abortion facility, that violates the prohibition;  provide that a physician who violates the prohibition is civilly liable; allow for severability; amend KRS 311.595 to allow the State Board of Medical Licensure to suspend or revoke the license of any physician who violates the prohibition; amend KRS 311.725, regarding informed consent for abortions, to notify pregnant women of the prohibition; amend KRS 311.990 to provide that a person who violates the prohibition is guilty of a Class D felony; amend KRS 213.101 to conform; amend KRS 413.140 to provide a one-year statute of limitations for civil actions arising from a violation of the prohibition; EMERGENCY.","Crimes and Punishments - Abortion, sex, race, color, national origin, or disability, prohibition of Criminal Procedure - Abortion, sex, race, color, national origin, or disability, prohibition of Effective Dates, Emergency - Abortion, sex, race, color, national origin, or disability, prohibition of Health and Medical Services - Abortion, sex, race, color, national origin, or disability, prohibition of Physicians and Practitioners - Abortion, sex, race, color, national origin, or disability, prohibition of Reproductive Issues - Abortion, sex, race, color, national origin, or disability, prohibition of Women - Abortion, sex, race, color, national origin, or disability, prohibition of Administrative Regulations and Proceedings - Vital Statistics, reports of abortions performed Children and Minors - Abortion, sex, race, color, national origin, or disability, prohibition of Civil Actions - Abortion, sex, race, color, national origin, or disability, prohibition of Civil Procedure - Abortion, sex, race, color, national origin, or disability, prohibition of Local Mandate - Abortion, sex, race, color, national origin, or disability, prohibition of",0,2019 General Assembly,signed by Governor,1,1,1
hb6,AN ACT relating to information used in redistricting.,"Create a new section of KRS Chapter 196 to require the Kentucky Department of Corrections to create and maintain a database of information on incarcerated persons, including last known address, and to report that information to the Legislative Research Commission following the decennial census; amend KRS 7.550 to require the Legislative Research Commission to receive prisoner population data, including last known address, from the Department of Corrections and to request the same information from federal facilities, and to allocate prisoners to their last known address, if determined; create a new section of KRS Chapter 5 to require that the adjusted prisoner population data be used in redistricting Kentucky's Senatorial and Representative districts; create a new section of KRS Chapter 118B to require that the adjusted prisoner population data be used in redistricting Kentucky's Congressional districts.","Elections and Voting - Legislative districts, redistricting, prisoner population General Assembly - Legislative districts, redistricting, prisoner population Legislative Research Commission - Redistricting, prisoner population, determination of residency Redistricting - Prisoner population data, determination of residency State Agencies - Department of Corrections, prisoner population database, report to LRC Congressional Districts - Redistricting, prisoner population, determination of residency Corrections and Correctional Facilities, State - Prisoner database, report to LRC",0,2019 General Assembly,"to Elections, Const. Amendments & Intergovernmental Affairs (H)",0,0,0
hb7,AN ACT relating to elections.,"Amend KRS 116.025 to provide that a voter shall be a resident of the state and precinct on or before the day of an election; amend KRS 116.045 to provide that a person who has not registered prior to the time that the registration books are closed and who possesses all other qualifications for voter registration may register or change party affiliation at the person's precinct of residence on the day of the election and shall be permitted to vote in that election; provide for confirmation of identity and affidavit; permit a process of voter preregistration for persons at the minimal age of 16 years; require the State Board of Elections to promulgate administrative regulations to provide for the procedure for voter preregistration; amend KRS 116.0452 to provide for time of receipt of precinct voter registration; provide that county clerk shall provide the State Board of Elections with a report of the number of voters registering to vote at the precincts on election day; direct the State Board of Elections to publish informational materials about voter registration in Spanish; direct the State Board of Elections to provide voter registration applications in Spanish no later than January 1, 2022; amend KRS 116.046 to direct schools and the county clerk to inform students and school personnel not less than once each school year about the availability of preregistration and registration forms; direct school districts to submit an annual report to the Legislative Research Commission regarding student voter preregistration and registration; direct the State Board of Education to implement programs of public education, not less than once during each school year, regarding elections, voting procedures, and election fraud, which shall include sophomores; amend KRS 116.048 to designate all state agencies as voter registration agencies, including public libraries; require state agencies to report to the LRC a plan for implementing requirements related to voter registration; amend KRS 116.055 to delete requirement that, to vote in a primary election, a person must have been registered as a member of the political party by December 31 or, in the case of new registrations, have been registered and remained registered as a member of that party; amend KRS 117.225 to provide that if the person is not listed on the precinct roster, that the person be given the opportunity to register at the precinct; amend KRS 117.365 to provide that applications for voter registration at the precinct shall be presented to the grand jury and retained by the county clerk; and amend KRS 150.195 to require the Department of Fish and Wildlife Resources to develop a procedure to inform applicants for licenses and permits of the means and methods to register to vote in the Commonwealth.","County Clerks - Same-day voter registration on election day, preregistration of persons 16 years of age, report County Clerks - Voter registration, information on procedures, fish and wildlife license or permit applicants Education, Elementary and Secondary - Voter registration and curriculum, annual requirement, programs relating, include sophomores, report Elections and Voting - Same-day voter registration on election day, preregistration of persons 16 years of age, Spanish Elections and Voting - Voter registration, information on procedures, fish and wildlife license or permit applicants Fish and Wildlife - License or permit applicants, voter registration, information on procedures Legislative Research Commission - Reports received, voter registration, school districts and designated agencies Licensing - Fish and wildlife license or permit applicants, voter registration, information on procedures Secretary of State - Elections, voter registration information, fish and wildlife license or permit applicants Secretary of State - Preregistration to vote, persons at minimal age of 16 State Agencies - Fish and Wildlife Resources, license or permit applicants, voter registration information State Agencies - State Board of Elections, preregistration of persons 16 years of age, election information, Spanish State Agencies - State Board of Elections, voter registration information, fish and wildlife license, public library",0,2019 General Assembly,"to Elections, Const. Amendments & Intergovernmental Affairs (H)",0,0,0
hb8,AN ACT relating to dyslexia.,Amend KRS 158.307 to require local boards of education to develop policy on identification of kindergarten through third grade students with dyslexia; require that the policy includes those attributes that may have been included previously; require postsecondary institutions with teacher preparation programs to include instruction on dyslexia by the 2020-2021 school year.,"Disabilities and the Disabled - Dyslexia, local boards of education, development of policy for identification of Education, Elementary and Secondary - Dyslexia, local boards of education, development of policy for identification of Education, Higher - Dyslexia, teacher preparation programs to include training on Teachers - Dyslexia, teacher preparation programs to include training on",0,2019 General Assembly,to Education (H),0,0,0
hb9,AN ACT relating to information technology.,Amend KRS 154.15-010 to create a definition for paid prioritization; create a new section of Subchapter 15 of KRS Chapter 154 to require KentuckyWired contracts between the Kentucky Communications Network Authority and public or private Internet service providers contain certain provisions to ensure open and fair access to the network by customers.,"Economic Development - KentuckyWired contracts, prohibition of paid prioritization Public Utilities - KentuckyWired contracts, prohibition of paid prioritization State Agencies - Kentucky Communications Network Authority, KentuckyWired contracts Information Technology - KentuckyWired contracts, prohibition of paid prioritization Telecommunications - KentuckyWired contracts, prohibition of paid prioritization Technology - KentuckyWired contracts, prohibition of paid prioritization",0,2019 General Assembly,to Small Business & Information Technology (H),0,0,0
hb10,AN ACT relating to electronic advertising.,Create a new section of KRS 177.830 to 177.890 to allow an electronic advertising devices located on the premises of a business or organization to advertise or promote activities and products offered both on and outside of the property; require content advertised to comply with state and federal statutes and regulations; prohibit the advertising of outside content if the business or organization has ceased operation; amend KRS 177.841 to comply.,"Transportation - Electronic billboards, advertising of, on-premise and off-premise products or activities, allowing Advertising - Electronic billboards, advertising of, on-premise and off-premise products or activities, allowing Commerce - Electronic billboards, advertising of, on-premise and off-premise products or activities, allowing",0,2019 General Assembly,to Transportation (H),0,0,0
