bill_num,legislator_id,session
hb1,16,2019 General Assembly
hb1,149,2019 General Assembly
hb1,2,2019 General Assembly
hb1,4,2019 General Assembly
hb1,5,2019 General Assembly
hb1,7,2019 General Assembly
hb1,143,2019 General Assembly
hb1,144,2019 General Assembly
hb1,9,2019 General Assembly
hb1,145,2019 General Assembly
hb1,146,2019 General Assembly
hb1,10,2019 General Assembly
hb1,26,2019 General Assembly
hb1,27,2019 General Assembly
hb1,147,2019 General Assembly
hb1,28,2019 General Assembly
hb1,30,2019 General Assembly
hb1,148,2019 General Assembly
hb1,33,2019 General Assembly
hb1,34,2019 General Assembly
hb1,37,2019 General Assembly
hb1,151,2019 General Assembly
hb1,40,2019 General Assembly
hb1,46,2019 General Assembly
hb1,152,2019 General Assembly
hb1,153,2019 General Assembly
hb1,154,2019 General Assembly
hb1,61,2019 General Assembly
hb1,156,2019 General Assembly
hb1,62,2019 General Assembly
hb1,161,2019 General Assembly
hb1,67,2019 General Assembly
hb1,70,2019 General Assembly
hb1,72,2019 General Assembly
hb1,75,2019 General Assembly
hb1,80,2019 General Assembly
hb1,82,2019 General Assembly
hb1,85,2019 General Assembly
hb1,86,2019 General Assembly
hb1,89,2019 General Assembly
hb1,91,2019 General Assembly
hb1,92,2019 General Assembly
hb1,93,2019 General Assembly
hb1,96,2019 General Assembly
hb1,100,2019 General Assembly
hb1,102,2019 General Assembly
hb1,103,2019 General Assembly
hb1,104,2019 General Assembly
hb1,105,2019 General Assembly
hb1,165,2019 General Assembly
hb1,113,2019 General Assembly
hb1,119,2019 General Assembly
hb1,170,2019 General Assembly
hb1,122,2019 General Assembly
hb1,123,2019 General Assembly
hb1,125,2019 General Assembly
hb1,130,2019 General Assembly
hb1,134,2019 General Assembly
hb1,174,2019 General Assembly
hb2,33,2019 General Assembly
hb2,70,2019 General Assembly
hb2,16,2019 General Assembly
hb2,28,2019 General Assembly
hb2,154,2019 General Assembly
hb2,161,2019 General Assembly
hb2,67,2019 General Assembly
hb2,75,2019 General Assembly
hb2,82,2019 General Assembly
hb2,85,2019 General Assembly
hb2,86,2019 General Assembly
hb2,89,2019 General Assembly
hb2,91,2019 General Assembly
hb2,93,2019 General Assembly
hb2,96,2019 General Assembly
hb2,165,2019 General Assembly
hb2,122,2019 General Assembly
hb2,130,2019 General Assembly
hb3,86,2019 General Assembly
hb3,70,2019 General Assembly
hb4,126,2019 General Assembly
hb4,16,2019 General Assembly
hb4,153,2019 General Assembly
hb4,67,2019 General Assembly
hb4,70,2019 General Assembly
hb4,75,2019 General Assembly
hb4,86,2019 General Assembly
hb4,96,2019 General Assembly
hb5,93,2019 General Assembly
hb5,170,2019 General Assembly
hb5,4,2019 General Assembly
hb5,5,2019 General Assembly
hb5,7,2019 General Assembly
hb5,9,2019 General Assembly
hb5,145,2019 General Assembly
hb5,146,2019 General Assembly
hb5,27,2019 General Assembly
hb5,147,2019 General Assembly
hb5,30,2019 General Assembly
