legislator_id,name,party,chamber,district,ga_17,ga_18,ga_19
1,J. Adams,Republican,Senate,36,1,1,1
2,R. Adkins,Democratic,House,99,1,1,1
3,R. Alvarado,Republican,Senate,28,1,1,1
4,L. Bechler,Republican,House,4,1,1,1
5,D. Bentley,Republican,House,98,1,1,1
6,R. Benvenuti,Republican,House,88,1,1,0
7,J. Blanton,Republican,House,92,1,1,1
8,J. Bowen,Republican,Senate,8,1,1,0
9,K. Bratcher,Republican,House,29,1,1,1
10,G. Brown,Democratic,House,77,1,1,1
11,L. Brown,Republican,House,95,1,1,0
12,T. Buford,Republican,Senate,22,1,1,1
13,R. Bunch,Republican,House,82,1,1,0
14,T. Burch,Democratic,House,30,1,1,1
15,M. Cantrell,Democratic,House,38,1,1,1
16,J. Carney,Republican,House,51,1,1,1
17,J. Carpenter,Republican,Senate,34,1,1,1
18,D. Carroll,Republican,Senate,2,1,1,1
19,J. Carroll,Democratic,Senate,7,1,1,1
20,M. Castlen,Republican,House,14,1,1,0
21,P. Clark,Democratic,Senate,37,1,1,1
22,T. Couch,Republican,House,90,1,1,0
23,W. Coursey,Democratic,House,6,1,1,0
24,J. DeCesare,Republican,House,17,1,1,0
25,J. Donohue,Democratic,House,37,1,1,1
26,M. Dossett,Republican,House,9,1,1,1
27,J. DuPlessis,Republican,House,25,1,1,1
28,D. Elliott,Republican,House,54,1,1,1
29,C. Embry Jr.,Republican,Senate,6,1,1,1
30,J. Fischer,Republican,House,68,1,1,1
31,K. Fleming,Republican,House,48,1,1,0
32,K. Flood,Democratic,House,75,1,1,1
33,C. Fugate,Republican,House,84,1,1,1
34,A. Gentry,Democratic,House,46,1,1,1
35,R. Girdler,Republican,Senate,15,1,1,1
36,D. Givens,Republican,Senate,9,1,1,1
37,J. Gooch,Republican,House,12,1,1,1
38,D. Graham,Democratic,House,57,1,1,1
39,J. Greer,Democratic,House,27,1,1,0
40,D. Hale,Republican,House,74,1,1,1
41,D. Harper Angel,Democratic,Senate,35,1,1,1
42,C. Harris,Democratic,House,93,1,1,1
43,E. Harris,Republican,Senate,26,1,1,1
44,M. Hart,Republican,House,78,1,1,1
45,A. Hatton,Democratic,House,94,1,1,1
46,R. Heath,Republican,House,2,1,1,1
47,T. Herald,Republican,House,91,1,1,0
48,J. Higdon,Republican,Senate,14,1,1,1
49,J. Hoover,Republican,House,83,1,1,1
50,D. Horlander,Democratic,House,40,1,1,0
51,P. Hornback,Republican,Senate,20,1,1,1
52,S. Humphries,Republican,Senate,1,1,1,1
53,K. Imes,Republican,House,5,1,1,0
54,J. Jenkins,Democratic,House,44,1,1,1
55,DJ. Johnson,Republican,House,13,1,1,0
56,D. Johnson,Republican,House,49,1,0,0
57,R. Jones II,Democratic,Senate,31,1,1,0
58,J. Kay,Democratic,House,56,1,1,0
59,D. Keene,Democratic,House,67,1,1,1
60,A. Kerr,Republican,Senate,12,1,1,1
61,K. King,Republican,House,55,1,1,1
62,A. Koenig,Republican,House,69,1,1,1
63,S. Lee,Republican,House,45,1,1,1
64,B. Linder,Republican,House,61,1,1,0
65,M. Marzian,Democratic,House,34,1,1,1
66,D. Mayfield,Republican,House,73,1,1,0
67,C. McCoy,Republican,House,50,1,1,1
68,C. McDaniel,Republican,Senate,23,1,1,1
69,M. McGarvey,Democratic,Senate,19,1,1,1
70,D. Meade,Republican,House,80,1,1,1
71,R. Meeks,Democratic,House,42,1,1,1
72,M. Meredith,Republican,House,19,1,1,1
73,S. Meredith,Republican,Senate,5,1,1,1
74,R. Meyer,Democratic,House,39,1,1,1
75,S. Miles,Republican,House,7,1,1,1
76,C. Miller,Democratic,House,28,1,1,1
77,J. Miller,Republican,House,36,1,1,1
78,R. Mills,Republican,House,11,1,1,0
79,P. Moffett,Republican,House,32,1,1,0
80,T. Moore,Republican,House,18,1,1,1
81,C. Morgan,Republican,House,81,1,1,0
82,K. Moser,Republican,House,64,1,1,1
83,G. Neal,Democratic,Senate,33,1,1,1
84,R. Nelson,Democratic,House,87,1,1,0
85,J. Nemes,Republican,House,33,1,1,1
86,D. Osborne,Republican,House,59,1,1,1
87,S. Overly,Democratic,House,72,1,1,0
88,D. Owens,Democratic,House,43,1,1,0
